licenseno,dlname,address,license_plate
DL26096,Jacqueline Dixon,"785 Emma CrossingWest Josephton, ",HR26CK8571
DL38833,Michelle Vance,"67737 Myers Shoal Suite 179
East Kenneth, IL 05576",TN21AT0749
DL49499,Amanda Newman,"506 David Ridges
Jeffreyville, NM 83367",MH20BY3665
DL30423,Edwin Nichols,"341 Charles Flats
East Marioville, NH 03962",KA04MN3622
DL68724,Jessica Garcia,"3460 Massey Ridge
Scottfurt, FL 29324",RJ27TC0530
DL33527,Terry Brooks,"7875 Williamson Estates Suite 798
Port Maria, GA 06429",MH14EU3498
DL43461,Robert Foster,"51938 Jason Islands Suite 807
Cynthiaville, NC 07844",KA05HS4495
DL70430,Tamara Wood,"901 Sawyer Alley
East Cindy, AK 38677",HR51AY9099
DL21540,Jennifer Vaughn,"Unit 2098 Box 2940
DPO AP 97213",GJW-1-15-A-1138
DL75013,Melissa Burnett,"7514 Cruz Street Suite 244
Port Janetmouth, OR 74269",DL3CAY9324
DL28399,Hector Howard PhD,"2274 Tara Center Apt. 982
Lake Anthonyfurt, WI 33002",GJ05JH2501
DL16084,Walter Curtis,"211 White Loaf
South Staceymouth, GU 02038",WB O6F 9209
DL93554,Cheryl Adkins MD,"Unit 4160 Box 6542
DPO AP 58625",HR26U7501
DL32914,John Miller,"439 Linda Ports Apt. 272
New Patricia, GA 05911",MH12DE1433
DL15826,Nicole Clarke,"71979 Terrell Roads
East Williamfort, MP 28156",MH02CB4545
DL39454,Kathryn Stokes,"049 Burke Via
Andersonhaven, NE 86633",TN21AT0480
DL38744,Jason Gregory,"33660 Jordan Drives
Wilsonside, MA 18152",MH14GN9239
DL89062,Eric Horn,"80533 Nichole Station
Tiffanyborough, CT 40593",MH03CB6467
DL56007,Michele Phillips,"8360 Norman Ville
Ritterchester, ID 99450",MH14EH7958
DL30564,Melissa Carney,"873 Marshall Turnpike Apt. 756
Cruzberg, TX 91840",MH20CS1941
DL51551,Ashley Garcia,"44049 Rodriguez Plains Suite 740
Williston, MA 97273",HR26DK0830
DL41628,Carl Chavez,"5440 Weaver Port
Lake Brianna, PR 33278",MH20EE7598
DL99972,Karen Brown,"109 Moore Rue Suite 973
New Courtneyborough, PW 37005",GJ01MW7581
DL34191,Michael Clark,"USS Hansen
FPO AA 81156",UK07BA7252
DL33094,Justin Simmons,"4282 Andrea Highway
New Williamland, MS 79494",TN09CH7770
DL61396,Joel Roberts,"PSC 9231, Box 0772
APO AA 26693",KL01AU585
DL72489,John Gonzales,"USNS Smith
FPO AP 40154",KA18P2987
DL56231,Stephen Harris,"PSC 4842, Box 6487
APO AA 26243",MH12JC2813
